Index,File,Are equals,Size in ntsc_1.0,Size in ntsc_1.1,Size proportion,Size difference,Bytes different,Words different,Opcodes difference,Same opcode but different arguments
0,makerom,False,4192,4192,1.0,0,9,3,,
1,boot,False,25552,25552,1.0,0,33,21,,
2,dmadata,False,24416,24416,1.0,0,6760,3883,,
3,Audiobank,True,117328,117328,1.0,0,0,0,,
4,Audioseq,True,325264,325264,1.0,0,0,0,,
5,Audiotable,True,4590288,4590288,1.0,0,0,0,,
6,kanji,True,508672,508672,1.0,0,0,0,,
7,link_animetion,True,2513968,2513968,1.0,0,0,0,,
8,icon_item_static,True,559264,559264,1.0,0,0,0,,
9,icon_item_24_static,True,46080,46080,1.0,0,0,0,,
10,icon_item_field_static,True,47408,47408,1.0,0,0,0,,
11,icon_item_dungeon_static,True,7552,7552,1.0,0,0,0,,
12,icon_item_gameover_static,True,13056,13056,1.0,0,0,0,,
13,icon_item_jpn_static,True,56448,56448,1.0,0,0,0,,
14,icon_item_nes_static,True,56448,56448,1.0,0,0,0,,
15,icon_item_ger_static,,,,,,,,,
16,icon_item_fra_static,,,,,,,,,
17,item_name_static,False,251904,251904,1.0,0,297,110,,
18,map_name_static,True,137216,137216,1.0,0,0,0,,
19,do_action_static,True,22272,22272,1.0,0,0,0,,
20,message_static,True,16768,16768,1.0,0,0,0,,
21,jpn_message_data_static,False,238416,238416,1.0,0,27421,8237,,
22,message_texture_static,True,4608,4608,1.0,0,0,0,,
23,nes_font_static,True,17792,17792,1.0,0,0,0,,
24,nes_message_data_static,False,229680,229632,1.0,-48,47277,12495,,
25,ger_message_data_static,,,,,,,,,
26,fra_message_data_static,,,,,,,,,
27,staff_message_data_static,True,3936,3936,1.0,0,0,0,,
28,map_grand_static,True,58192,58192,1.0,0,0,0,,
29,map_i_static,True,975120,975120,1.0,0,0,0,,
30,map_48x85_static,True,138720,138720,1.0,0,0,0,,
31,code,False,1064240,1064688,1.0,448,388717,119119,,
32,n64dd,False,77072,77040,1.0,-32,47369,14434,,
33,ovl_title text,False,2320,2320,1.0,0,23,16,0,16
33,ovl_title data,True,32,32,1.0,0,0,0,,
33,ovl_title rodata,True,16,16,1.0,0,0,0,,
33,ovl_title reloc,True,92,92,1.0,0,0,0,,
34,ovl_select text,False,5072,5072,1.0,0,78,54,0,54
34,ovl_select data,True,1472,1472,1.0,0,0,0,,
34,ovl_select rodata,True,3760,3760,1.0,0,0,0,,
34,ovl_select reloc,True,1284,1284,1.0,0,0,0,,
35,ovl_opening text,False,304,304,1.0,0,1,1,0,1
35,ovl_opening reloc,True,24,24,1.0,0,0,0,,
36,ovl_file_choose text,False,60496,60496,1.0,0,345,218,0,218
36,ovl_file_choose data,True,2992,2992,1.0,0,0,0,,
