Index,File,Are equals,Size in baserom,Size in other_baserom,Size proportion,Size difference,Bytes different
0,makerom,False,4192,4192,1.0,0,20
1,boot,False,25552,73488,0.348,-47936,22197
2,dmadata,False,24416,24768,0.986,-352,17581
3,Audiobank,False,117328,179648,0.653,-62320,48124
4,Audioseq,False,325264,326272,0.997,-1008,189473
5,Audiotable,False,4590288,4526992,1.014,63296,991374
6,kanji,,508672,,,,
7,link_animetion,True,2513968,2513968,1.0,0,0
8,icon_item_static,False,559264,564384,0.991,-5120,134905
9,icon_item_24_static,True,46080,46080,1.0,0,0
10,icon_item_field_static,True,47408,47408,1.0,0,0
11,icon_item_dungeon_static,True,7552,7552,1.0,0,0
12,icon_item_gameover_static,False,13056,15488,0.843,-2432,3186
13,icon_item_jpn_static,,56448,,,,
14,icon_item_nes_static,True,56448,56448,1.0,0,0
15,item_name_static,False,251904,377856,0.667,-125952,111119
16,map_name_static,False,137216,205824,0.667,-68608,72653
17,do_action_static,False,22272,33408,0.667,-11136,6356
18,message_static,True,16768,16768,1.0,0,0
19,jpn_message_data_static,,238416,,,,
20,message_texture_static,True,4608,4608,1.0,0,0
21,nes_font_static,False,17792,17920,0.993,-128,93
22,nes_message_data_static,False,229680,229664,1.0,16,205035
23,staff_message_data_static,False,3936,3920,1.004,16,1511
24,map_grand_static,True,58192,58192,1.0,0,0
25,map_i_static,True,975120,975120,1.0,0,0
26,map_48x85_static,True,138720,138720,1.0,0,0
27,code,False,1064240,1290032,0.825,-225792,956030
28,n64dd,,77072,,,,
29,ovl_title,False,2496,2960,0.843,-464,2223
30,ovl_select,False,11616,12384,0.938,-768,9492
31,ovl_opening,False,352,336,1.048,16,203
32,ovl_file_choose,False,65312,64192,1.017,1120,54744
33,ovl_kaleido_scope,False,117136,125312,0.935,-8176,95281
34,ovl_player_actor,False,157024,157840,0.995,-816,137230
35,ovl_map_mark_data,False,27488,27360,1.005,128,1145
36,ovl_En_Test,False,22704,22704,1.0,0,18929
37,ovl_En_GirlA,False,10528,12176,0.865,-1648,9064
38,ovl_En_Part,False,5648,5840,0.967,-192,4831
39,ovl_En_Light,False,3568,3728,0.957,-160,1539
40,ovl_En_Door,False,3632,3680,0.987,-48,3039
41,ovl_En_Box,False,6960,7488,0.929,-528,5483
42,ovl_En_Poh,False,16784,17264,0.972,-480,14853
43,ovl_En_Okuta,False,9696,9792,0.99,-96,8436
44,ovl_En_Bom,False,3792,3936,0.963,-144,3229
45,ovl_En_Wallmas,False,6672,6912,0.965,-240,5761
46,ovl_En_Dodongo,False,11680,11648,1.003,32,9590
47,ovl_En_Firefly,False,8560,8720,0.982,-160,7457
48,ovl_En_Horse,False,49696,49760,0.999,-64,41926
49,ovl_En_Arrow,False,5872,6112,0.961,-240,5014
50,ovl_En_Elf,False,18880,19184,0.984,-304,14835
51,ovl_En_Niw,False,13104,14336,0.914,-1232,11903
52,ovl_En_Tite,False,11680,11904,0.981,-224,10036
53,ovl_En_Reeba,False,6768,7264,0.932,-496,5944
54,ovl_En_Peehat,False,14080,14352,0.981,-272,12084
55,ovl_En_Holl,False,4048,4128,0.981,-80,3402
56,ovl_En_Scene_Change,False,304,432,0.704,-128,252
57,ovl_En_Zf,False,27376,27360,1.001,16,23354
58,ovl_En_Hata,False,1424,1408,1.011,16,942
59,ovl_Boss_Dodongo,False,39648,39984,0.992,-336,34783
60,ovl_Boss_Goma,False,24448,24816,0.985,-368,19235
61,ovl_En_Zl1,False,15872,15952,0.995,-80,8748
62,ovl_En_Viewer,False,11952,12864,0.929,-912,10665
63,ovl_En_Goma,False,11408,11744,0.971,-336,8932
64,ovl_Bg_Pushbox,False,768,880,0.873,-112,650
65,ovl_En_Bubble,False,5152,5232,0.985,-80,4239
66,ovl_Door_Shutter,False,8832,9088,0.972,-256,7668
67,ovl_En_Dodojr,False,7840,7824,1.002,16,5402
68,ovl_En_Bdfire,False,2960,3120,0.949,-160,2592
69,ovl_En_Boom,False,2240,2368,0.946,-128,1714
70,ovl_En_Torch2,False,10080,10160,0.992,-80,8233
71,ovl_En_Bili,False,8912,8976,0.993,-64,7434
72,ovl_En_Tp,False,7760,7952,0.976,-192,6713
73,ovl_En_St,False,11376,11440,0.994,-64,9359
74,ovl_En_Bw,False,13152,13312,0.988,-160,10420
75,ovl_En_Eiyer,False,7264,7312,0.993,-48,6239
76,ovl_En_River_Sound,False,2448,2432,1.007,16,1832
77,ovl_En_Horse_Normal,False,9760,9856,0.99,-96,7872
78,ovl_En_Ossan,False,26080,29312,0.89,-3232,23570
79,ovl_Bg_Treemouth,False,5712,5856,0.975,-144,4271
80,ovl_Bg_Dodoago,False,3392,3520,0.964,-128,2814
81,ovl_Bg_Hidan_Dalm,False,2128,2112,1.008,16,1646
82,ovl_Bg_Hidan_Hrock,False,2096,2096,1.0,0,1548
83,ovl_En_Horse_Ganon,False,3456,3440,1.005,16,2847
84,ovl_Bg_Hidan_Rock,False,4336,4480,0.968,-144,3719
85,ovl_Bg_Hidan_Rsekizou,False,3040,3264,0.931,-224,2515
86,ovl_Bg_Hidan_Sekizou,False,5200,5392,0.964,-192,3597
87,ovl_Bg_Hidan_Sima,False,3872,4080,0.949,-208,3349
88,ovl_Bg_Hidan_Syoku,False,1120,1104,1.014,16,916
89,ovl_En_Xc,False,26464,27568,0.96,-1104,22609
90,ovl_Bg_Hidan_Curtain,False,2720,3200,0.85,-480,2415
91,ovl_Bg_Spot00_Hanebasi,False,4368,4672,0.935,-304,3727
92,ovl_En_Mb,False,16704,16896,0.989,-192,14583
93,ovl_En_Bombf,False,5232,5408,0.967,-176,4534
94,ovl_Bg_Hidan_Firewall,False,1888,2016,0.937,-128,1548
95,ovl_Bg_Dy_Yoseizo,False,11600,12528,0.926,-928,10581
96,ovl_En_Zl2,False,18224,18976,0.96,-752,15496
97,ovl_Bg_Hidan_Fslift,False,1232,1200,1.027,32,1035
98,ovl_En_OE2,False,224,192,1.167,32,131
99,ovl_Bg_Ydan_Hasi,False,1968,2112,0.932,-144,1699
100,ovl_Bg_Ydan_Maruta,False,1760,1744,1.009,16,1373
101,ovl_Boss_Ganondrof,False,19824,21456,0.924,-1632,17038
102,ovl_En_Am,False,9216,9296,0.991,-80,7429
103,ovl_En_Dekubaba,False,15008,15760,0.952,-752,13293
104,ovl_En_M_Fire1,False,416,416,1.0,0,187
105,ovl_En_M_Thunder,False,5616,5808,0.967,-192,4944
106,ovl_Bg_Ddan_Jd,False,1616,1600,1.01,16,1355
107,ovl_Bg_Breakwall,False,3696,3792,0.975,-96,2975
108,ovl_En_Jj,False,5584,5648,0.989,-64,3546
109,ovl_En_Horse_Zelda,False,2800,2768,1.012,32,2328
110,ovl_Bg_Ddan_Kd,False,2288,2320,0.986,-32,1954
111,ovl_Door_Warp1,False,17056,17696,0.964,-640,14650
112,ovl_Obj_Syokudai,False,3120,3296,0.947,-176,2708
113,ovl_Item_B_Heart,False,1008,1184,0.851,-176,861
114,ovl_En_Dekunuts,False,6144,6112,1.005,32,5148
115,ovl_Bg_Menkuri_Kaiten,False,400,384,1.042,16,293
116,ovl_Bg_Menkuri_Eye,False,1168,1328,0.88,-160,1010
117,ovl_En_Vali,False,9888,10240,0.966,-352,8436
118,ovl_Bg_Mizu_Movebg,False,4496,4624,0.972,-128,3727
119,ovl_Bg_Mizu_Water,False,3280,3792,0.865,-512,2967
120,ovl_Arms_Hook,False,3424,3600,0.951,-176,2861
121,ovl_En_fHG,False,10544,11616,0.908,-1072,9654
122,ovl_Bg_Mori_Hineri,False,3280,3696,0.887,-416,2911
123,ovl_En_Bb,False,15568,15696,0.992,-128,13441
124,ovl_Bg_Toki_Hikari,False,3488,3904,0.893,-416,2896
125,ovl_En_Yukabyun,False,1552,1680,0.924,-128,1333
126,ovl_Bg_Toki_Swd,False,5712,5824,0.981,-112,2682
127,ovl_En_Fhg_Fire,False,9760,10688,0.913,-928,8710
128,ovl_Bg_Mjin,False,992,1088,0.912,-96,860
129,ovl_Bg_Hidan_Kousi,False,1408,1728,0.815,-320,1229
130,ovl_Door_Toki,False,352,352,1.0,0,212
131,ovl_Bg_Hidan_Hamstep,False,3728,4336,0.86,-608,3237
132,ovl_En_Bird,False,1216,1200,1.013,16,1009
133,ovl_En_Wood02,False,4560,4704,0.969,-144,3779
134,ovl_En_Lightbox,False,1152,1136,1.014,16,758
135,ovl_En_Pu_box,False,832,832,1.0,0,404
136,ovl_En_Trap,False,4768,4752,1.003,16,4002
137,ovl_En_Arow_Trap,False,336,336,1.0,0,62
138,ovl_En_Vase,False,256,240,1.067,16,172
139,ovl_En_Ta,False,14784,15040,0.983,-256,12814
140,ovl_En_Tk,False,7728,8080,0.956,-352,6488
141,ovl_Bg_Mori_Bigst,False,2352,3136,0.75,-784,2103
142,ovl_Bg_Mori_Elevator,False,2800,3424,0.818,-624,2439
143,ovl_Bg_Mori_Kaitenkabe,False,1632,1968,0.829,-336,1369
144,ovl_Bg_Mori_Rakkatenjo,False,2416,3232,0.748,-816,2173
145,ovl_En_Vm,False,6320,6544,0.966,-224,5317
146,ovl_Demo_Effect,False,23296,25664,0.908,-2368,20600
147,ovl_Demo_Kankyo,False,15536,16640,0.934,-1104,13085
148,ovl_Bg_Hidan_Fwbig,False,3296,3408,0.967,-112,2856
149,ovl_En_Floormas,False,13280,13456,0.987,-176,11479
150,ovl_En_Heishi1,False,5392,7120,0.757,-1728,4939
151,ovl_En_Rd,False,10416,10448,0.997,-32,8856
152,ovl_En_Po_Sisters,False,19696,19904,0.99,-208,17220
153,ovl_Bg_Heavy_Block,False,6384,6672,0.957,-288,5498
154,ovl_Bg_Po_Event,False,7728,7824,0.988,-96,5075
155,ovl_Obj_Mure,False,4112,5280,0.779,-1168,3620
156,ovl_En_Sw,False,14192,14464,0.981,-272,12049
157,ovl_Boss_Fd,False,29488,30896,0.954,-1408,25773
158,ovl_Object_Kankyo,False,12832,13776,0.931,-944,11392
159,ovl_En_Du,False,6816,6848,0.995,-32,5613
160,ovl_En_Fd,False,11456,11760,0.974,-304,8888
161,ovl_En_Horse_Link_Child,False,7680,7808,0.984,-128,6262
162,ovl_Door_Ana,False,1648,1776,0.928,-128,1427
163,ovl_Bg_Spot02_Objects,False,4944,5248,0.942,-304,4313
164,ovl_Bg_Haka,False,1728,1856,0.931,-128,1474
165,ovl_Magic_Wind,False,7424,8016,0.926,-592,6724
166,ovl_Magic_Fire,False,8912,9104,0.979,-192,7841
167,ovl_En_Ru1,False,30368,31040,0.978,-672,25037
168,ovl_Boss_Fd2,False,15664,16896,0.927,-1232,13260
169,ovl_En_Fd_Fire,False,3344,3504,0.954,-160,2616
170,ovl_En_Dh,False,6864,6976,0.984,-112,5674
171,ovl_En_Dha,False,4048,4080,0.992,-32,3427
172,ovl_En_Rl,False,3808,4496,0.847,-688,3347
173,ovl_En_Encount1,False,2912,4720,0.617,-1808,2637
174,ovl_Demo_Du,False,14304,14816,0.965,-512,11705
175,ovl_Demo_Im,False,16240,17056,0.952,-816,13546
176,ovl_Demo_Tre_Lgt,False,1808,2096,0.863,-288,986
177,ovl_En_Fw,False,6064,6176,0.982,-112,4329
178,ovl_Bg_Vb_Sima,False,1808,1952,0.926,-144,1539
179,ovl_En_Vb_Ball,False,4512,4704,0.959,-192,3579
180,ovl_Bg_Haka_Megane,False,1024,1008,1.016,16,784
181,ovl_Bg_Haka_MeganeBG,False,1728,1712,1.009,16,1446
182,ovl_Bg_Haka_Ship,False,2624,2976,0.882,-352,2322
183,ovl_Bg_Haka_Sgami,False,3104,3104,1.0,0,2151
184,ovl_En_Heishi2,False,8704,10144,0.858,-1440,7969
185,ovl_En_Encount2,False,4656,5392,0.864,-736,4061
186,ovl_En_Fire_Rock,False,4368,5200,0.84,-832,3936
187,ovl_En_Brob,False,4336,4336,1.0,0,2906
188,ovl_Mir_Ray,False,6336,6704,0.945,-368,5285
189,ovl_Bg_Spot09_Obj,False,1296,1696,0.764,-400,912
190,ovl_Bg_Spot18_Obj,False,2256,2752,0.82,-496,1999
191,ovl_Boss_Va,False,59376,60560,0.98,-1184,51591
192,ovl_Bg_Haka_Tubo,False,2592,2736,0.947,-144,2159
193,ovl_Bg_Haka_Trap,False,5584,5552,1.006,32,4677
194,ovl_Bg_Haka_Huta,False,2720,2688,1.012,32,2188
195,ovl_Bg_Haka_Zou,False,4592,4560,1.007,32,3811
196,ovl_Bg_Spot17_Funen,False,592,784,0.755,-192,509
197,ovl_En_Syateki_Itm,False,3488,4544,0.768,-1056,2937
198,ovl_En_Syateki_Man,False,3520,4224,0.833,-704,3147
199,ovl_En_Tana,False,672,1072,0.627,-400,601
200,ovl_En_Nb,False,17872,18928,0.944,-1056,15067
201,ovl_Boss_Mo,False,46496,49088,0.947,-2592,38219
202,ovl_En_Sb,False,5184,5248,0.988,-64,3898
203,ovl_En_Bigokuta,False,11024,11328,0.973,-304,9486
204,ovl_En_Karebaba,False,6384,6752,0.945,-368,5587
205,ovl_Bg_Bdan_Objects,False,4816,4976,0.968,-160,4304
206,ovl_Demo_Sa,False,11040,11728,0.941,-688,9105
207,ovl_Demo_Go,False,3424,3584,0.955,-160,2921
208,ovl_En_In,False,11616,11888,0.977,-272,9455
209,ovl_En_Tr,False,6400,6512,0.983,-112,5536
210,ovl_Bg_Spot16_Bombstone,False,5440,6160,0.883,-720,4655
211,ovl_Bg_Hidan_Kowarerukabe,False,3792,4192,0.905,-400,3172
212,ovl_Bg_Bombwall,False,2240,2448,0.915,-208,1889
213,ovl_En_Ru2,False,11648,12304,0.947,-656,9318
214,ovl_Obj_Dekujr,False,1600,1760,0.909,-160,1200
215,ovl_Bg_Mizu_Uzu,False,464,464,1.0,0,297
216,ovl_Bg_Spot06_Objects,False,5136,5296,0.97,-160,4268
217,ovl_Bg_Ice_Objects,False,3904,3888,1.004,16,3163
218,ovl_Bg_Haka_Water,False,2016,2240,0.9,-224,1799
219,ovl_En_Ma2,False,4192,4352,0.963,-160,3504
220,ovl_En_Bom_Chu,False,5792,5936,0.976,-144,4773
221,ovl_En_Horse_Game_Check,False,4304,4368,0.985,-64,3380
222,ovl_Boss_Tw,False,77952,80752,0.965,-2800,69413
223,ovl_En_Rr,False,9504,10192,0.932,-688,8187
224,ovl_En_Ba,False,7888,8080,0.976,-192,6858
225,ovl_En_Bx,False,2800,2992,0.936,-192,2422
226,ovl_En_Anubice,False,4784,5248,0.912,-464,4243
227,ovl_En_Anubice_Fire,False,3520,3680,0.957,-160,1946
228,ovl_Bg_Mori_Hashigo,False,2240,2816,0.795,-576,1929
229,ovl_Bg_Mori_Hashira4,False,1408,1888,0.746,-480,1252
230,ovl_Bg_Mori_Idomizu,False,1600,1920,0.833,-320,1371
231,ovl_Bg_Spot16_Doughnut,False,1456,1920,0.758,-464,1293
232,ovl_Bg_Bdan_Switch,False,5168,5440,0.95,-272,4418
233,ovl_En_Ma1,False,4832,4880,0.99,-48,3540
234,ovl_Boss_Ganon,False,139888,142160,0.984,-2272,119862
235,ovl_Boss_Sst,False,50464,50880,0.992,-416,43849
236,ovl_En_Ny,False,6448,6896,0.935,-448,5523
237,ovl_En_Fr,False,10896,11888,0.917,-992,9779
238,ovl_Item_Shield,False,2576,2736,0.942,-160,2139
239,ovl_Bg_Ice_Shelter,False,4656,4992,0.933,-336,3883
240,ovl_En_Ice_Hono,False,4592,4896,0.938,-304,4028
241,ovl_Item_Ocarina,False,2000,2032,0.984,-32,1725
242,ovl_Magic_Dark,False,6224,6560,0.949,-336,5289
243,ovl_Demo_6K,False,11536,12672,0.91,-1136,10469
244,ovl_En_Anubice_Tag,False,720,976,0.738,-256,621
245,ovl_Bg_Haka_Gate,False,4224,4544,0.93,-320,3723
246,ovl_Bg_Spot15_Saku,False,832,992,0.839,-160,720
247,ovl_Bg_Jya_Goroiwa,False,1920,1872,1.026,48,1553
248,ovl_Bg_Jya_Zurerukabe,False,1712,2096,0.817,-384,1533
249,ovl_Bg_Jya_Cobra,False,7456,8320,0.896,-864,6756
250,ovl_Bg_Jya_Kanaami,False,944,1120,0.843,-176,813
251,ovl_Fishing,False,80336,83664,0.96,-3328,71469
252,ovl_Obj_Oshihiki,False,6832,7760,0.88,-928,6097
