Extracting baserom with 4 CPU cores.
extracting baserom/makerom (0x00000000, 0x00001060)
extracting baserom/boot (0x00001060, 0x00007170)
extracting baserom/dmadata (0x00007170, 0x0000D0D0)
extracting baserom/Audiobank (0x0000D0D0, 0x00038E90)
extracting baserom/Audioseq (0x00038E90, 0x00088910)
extracting baserom/Audiotable (0x00088910, 0x004D9CA0)
extracting baserom/link_animetion (0x004D9CA0, 0x0073F8D0)
extracting baserom/icon_item_static (0x00740000, 0x007C9CA0)
extracting baserom/icon_item_24_static (0x007CA000, 0x007D5400)
extracting baserom/icon_item_field_static (0x007D6000, 0x007E1930)
extracting baserom/icon_item_dungeon_static (0x007E2000, 0x007E3D80)
extracting baserom/icon_item_gameover_static (0x007E4000, 0x007E7C80)
extracting baserom/icon_item_nes_static (0x007E8000, 0x007F5C80)
extracting baserom/icon_item_ger_static (0x007F6000, 0x00804B80)
extracting baserom/icon_item_fra_static (0x00805000, 0x00814480)
extracting baserom/item_name_static (0x00815000, 0x00871400)
extracting baserom/map_name_static (0x00872000, 0x008A4400)
extracting baserom/do_action_static (0x008A5000, 0x008AD280)
extracting baserom/message_static (0x008AE000, 0x008B2180)
extracting baserom/message_texture_static (0x008B3000, 0x008B4200)
extracting baserom/nes_font_static (0x008B5000, 0x008B9600)
extracting baserom/nes_message_data_static (0x008BA000, 0x008F2080)
extracting baserom/ger_message_data_static (0x008F3000, 0x0092E9D0)
extracting baserom/fra_message_data_static (0x0092F000, 0x009661C0)
extracting baserom/staff_message_data_static (0x00967000, 0x00967F50)
extracting baserom/map_grand_static (0x00968000, 0x00976350)
extracting baserom/map_i_static (0x00977000, 0x00998DE0)
extracting baserom/map_48x85_static (0x00999000, 0x00A87110)
extracting baserom/code (0x00A88000, 0x00B8A230)
extracting baserom/ovl_title (0x00B8A230, 0x00B8AA80)
extracting baserom/ovl_select (0x00B8AA80, 0x00B8D700)
extracting baserom/ovl_opening (0x00B8D700, 0x00B8D860)
extracting baserom/ovl_file_choose (0x00B8D860, 0x00B9C470)
extracting baserom/ovl_kaleido_scope (0x00B9C470, 0x00BB8E30)
extracting baserom/ovl_player_actor (0x00BB8E30, 0x00BDF540)
extracting baserom/ovl_map_mark_data (0x00BDF540, 0x00BE6020)
extracting baserom/ovl_En_Test (0x00BE6020, 0x00BEB8D0)
extracting baserom/ovl_Arms_Hook (0x00BEB8D0, 0x00BEC640)
extracting baserom/ovl_Arrow_Fire (0x00BEC640, 0x00BEE520)
extracting baserom/ovl_Arrow_Ice (0x00BEE520, 0x00BF0420)
extracting baserom/ovl_Arrow_Light (0x00BF0420, 0x00BF2330)
extracting baserom/ovl_Bg_Bdan_Objects (0x00BF2330, 0x00BF3600)
extracting baserom/ovl_Bg_Bdan_Switch (0x00BF3600, 0x00BF4A30)
extracting baserom/ovl_Bg_Bom_Guard (0x00BF4A30, 0x00BF4C50)
extracting baserom/ovl_Bg_Bombwall (0x00BF4C50, 0x00BF5510)
extracting baserom/ovl_Bg_Bowl_Wall (0x00BF5510, 0x00BF5E90)
extracting baserom/ovl_Bg_Breakwall (0x00BF5E90, 0x00BF6D00)
extracting baserom/ovl_Bg_Ddan_Jd (0x00BF6D00, 0x00BF7350)
extracting baserom/ovl_Bg_Ddan_Kd (0x00BF7350, 0x00BF7C40)
extracting baserom/ovl_Bg_Dodoago (0x00BF7C40, 0x00BF8980)
extracting baserom/ovl_Bg_Dy_Yoseizo (0x00BF8980, 0x00BFB770)
extracting baserom/ovl_Bg_Ganon_Otyuka (0x00BFB770, 0x00BFDDB0)
extracting baserom/ovl_Bg_Gate_Shutter (0x00BFDDB0, 0x00BFE240)
extracting baserom/ovl_Bg_Gjyo_Bridge (0x00BFE240, 0x00BFE730)
extracting baserom/ovl_Bg_Gnd_Darkmeiro (0x00BFE730, 0x00BFEEF0)
extracting baserom/ovl_Bg_Gnd_Firemeiro (0x00BFEEF0, 0x00BFF440)
extracting baserom/ovl_Bg_Gnd_Iceblock (0x00BFF440, 0x00C00530)
extracting baserom/ovl_Bg_Gnd_Nisekabe (0x00C00530, 0x00C006A0)
extracting baserom/ovl_Bg_Gnd_Soulmeiro (0x00C006A0, 0x00C00F00)
extracting baserom/ovl_Bg_Haka (0x00C00F00, 0x00C015C0)
extracting baserom/ovl_Bg_Haka_Gate (0x00C015C0, 0x00C02650)
extracting baserom/ovl_Bg_Haka_Huta (0x00C02650, 0x00C030F0)
extracting baserom/ovl_Bg_Haka_Megane (0x00C030F0, 0x00C034F0)
extracting baserom/ovl_Bg_Haka_MeganeBG (0x00C034F0, 0x00C03BB0)
extracting baserom/ovl_Bg_Haka_Sgami (0x00C03BB0, 0x00C047D0)
extracting baserom/ovl_Bg_Haka_Ship (0x00C047D0, 0x00C05220)
extracting baserom/ovl_Bg_Haka_Trap (0x00C05220, 0x00C067F0)
extracting baserom/ovl_Bg_Haka_Tubo (0x00C067F0, 0x00C07210)
extracting baserom/ovl_Bg_Haka_Water (0x00C07210, 0x00C07A10)
extracting baserom/ovl_Bg_Haka_Zou (0x00C07A10, 0x00C08C00)
extracting baserom/ovl_Bg_Heavy_Block (0x00C08C00, 0x00C0A4F0)
extracting baserom/ovl_Bg_Hidan_Curtain (0x00C0A4F0, 0x00C0AF90)
extracting baserom/ovl_Bg_Hidan_Dalm (0x00C0AF90, 0x00C0B7E0)
extracting baserom/ovl_Bg_Hidan_Firewall (0x00C0B7E0, 0x00C0BF40)
extracting baserom/ovl_Bg_Hidan_Fslift (0x00C0BF40, 0x00C0C410)
extracting baserom/ovl_Bg_Hidan_Fwbig (0x00C0C410, 0x00C0D0F0)
extracting baserom/ovl_Bg_Hidan_Hamstep (0x00C0D0F0, 0x00C0DFA0)
extracting baserom/ovl_Bg_Hidan_Hrock (0x00C0DFA0, 0x00C0E7D0)
extracting baserom/ovl_Bg_Hidan_Kousi (0x00C0E7D0, 0x00C0ED60)
extracting baserom/ovl_Bg_Hidan_Kowarerukabe (0x00C0ED60, 0x00C0FC40)
extracting baserom/ovl_Bg_Hidan_Rock (0x00C0FC40, 0x00C10D40)
extracting baserom/ovl_Bg_Hidan_Rsekizou (0x00C10D40, 0x00C11920)
extracting baserom/ovl_Bg_Hidan_Sekizou (0x00C11920, 0x00C12D70)
extracting baserom/ovl_Bg_Hidan_Sima (0x00C12D70, 0x00C13C70)
extracting baserom/ovl_Bg_Hidan_Syoku (0x00C13C70, 0x00C140D0)
extracting baserom/ovl_Bg_Ice_Objects (0x00C140D0, 0x00C15010)
