Index,File,Are equals,Size in baserom,Size in other_baserom,Size proportion,Size difference,Bytes different
0,makerom,False,4192,4192,1.0,0,17
1,boot,False,26864,73488,0.366,-46624,23321
2,dmadata,False,24432,24768,0.986,-336,18060
4,Audioseq,False,326272,326272,1.0,0,6112
7,icon_item_static,False,564384,564384,1.0,0,1951
20,nes_font_static,False,17792,17920,0.993,-128,0
22,ger_message_data_static,False,244128,244176,1.0,-48,221983
23,fra_message_data_static,False,226064,225728,1.001,336,211613
28,code,False,1053936,1290032,0.817,-236096,948758
29,ovl_title,False,76944,2960,25.995,73984,2666
30,ovl_select,False,2496,12384,0.202,-9888,2288
31,ovl_opening,False,11616,336,34.571,11280,300
32,ovl_file_choose,False,352,64192,0.005,-63840,327
33,ovl_kaleido_scope,False,67296,125312,0.537,-58016,62311
34,ovl_player_actor,False,117760,157840,0.746,-40080,106878
35,ovl_map_mark_data,False,157360,27360,5.751,130000,21438
36,ovl_En_Test,False,27488,22704,1.211,4784,17157
37,ovl_Arms_Hook,False,22704,3600,6.307,19104,3213
38,ovl_Arrow_Fire,False,10528,8128,1.295,2400,7647
39,ovl_Arrow_Ice,False,5648,8160,0.692,-2512,5197
40,ovl_Arrow_Light,False,3568,8176,0.436,-4608,3283
41,ovl_Bg_Bdan_Objects,False,3648,4976,0.733,-1328,3280
42,ovl_Bg_Bdan_Switch,False,6960,5440,1.279,1520,4926
43,ovl_Bg_Bom_Guard,False,16784,640,26.225,16144,564
44,ovl_Bg_Bombwall,False,9696,2448,3.961,7248,2192
45,ovl_Bg_Bowl_Wall,False,3792,2688,1.411,1104,2452
46,ovl_Bg_Breakwall,False,6672,3792,1.759,2880,3386
47,ovl_Bg_Ddan_Jd,False,11680,1600,7.3,10080,1486
48,ovl_Bg_Ddan_Kd,False,8560,2320,3.69,6240,2083
49,ovl_Bg_Dodoago,False,49760,3520,14.136,46240,3151
50,ovl_Bg_Dy_Yoseizo,False,5872,12528,0.469,-6656,5387
