Index,File,Are equals,Size in baserom,Size in other_baserom,Size proportion,Size difference,Bytes different
0,makerom,False,4192,4192,1.0,0,13
1,boot,False,24848,73488,0.338,-48640,21473
2,dmadata,False,24416,24768,0.986,-352,17720
20,nes_font_static,False,17920,17920,1.0,0,93
21,nes_message_data_static,False,229504,229664,0.999,-160,214550
28,code,False,1057328,1290032,0.82,-232704,950330
29,ovl_title,False,2128,2960,0.719,-832,1932
30,ovl_select,False,11392,12384,0.92,-992,9712
31,ovl_opening,False,352,336,1.048,16,202
32,ovl_file_choose,False,60432,64192,0.941,-3760,50296
33,ovl_kaleido_scope,False,117184,125312,0.935,-8128,95708
34,ovl_player_actor,False,157456,157840,0.998,-384,136881
35,ovl_map_mark_data,False,27360,27360,1.0,0,10
36,ovl_En_Test,False,22704,22704,1.0,0,18932
37,ovl_Arms_Hook,False,3440,3600,0.956,-160,2887
38,ovl_Arrow_Fire,False,7904,8128,0.972,-224,6824
39,ovl_Arrow_Ice,False,7936,8160,0.973,-224,6868
40,ovl_Arrow_Light,False,7952,8176,0.973,-224,6701
41,ovl_Bg_Bdan_Objects,False,4816,4976,0.968,-160,4303
42,ovl_Bg_Bdan_Switch,False,5168,5440,0.95,-272,4414
43,ovl_Bg_Bom_Guard,False,544,640,0.85,-96,472
44,ovl_Bg_Bombwall,False,2240,2448,0.915,-208,1889
45,ovl_Bg_Bowl_Wall,False,2432,2688,0.905,-256,2105
46,ovl_Bg_Breakwall,False,3696,3792,0.975,-96,2978
47,ovl_Bg_Ddan_Jd,False,1616,1600,1.01,16,1355
48,ovl_Bg_Ddan_Kd,False,2288,2320,0.986,-32,1953
49,ovl_Bg_Dodoago,False,3392,3520,0.964,-128,2812
50,ovl_Bg_Dy_Yoseizo,False,11760,12528,0.939,-768,10761
51,ovl_Bg_Ganon_Otyuka,False,9792,10304,0.95,-512,8517
52,ovl_Bg_Gate_Shutter,False,1168,1376,0.849,-208,1037
53,ovl_Bg_Gjyo_Bridge,False,1264,1392,0.908,-128,937
