Index,File,Are equals,Size in baserom,Size in other_baserom,Size proportion,Size difference,Bytes different
3,Audiobank,True,179648,179648,1.0,0,0
5,Audiotable,True,4526992,4526992,1.0,0,0
6,link_animetion,True,2513968,2513968,1.0,0,0
8,icon_item_24_static,True,46080,46080,1.0,0,0
9,icon_item_field_static,True,47408,47408,1.0,0,0
10,icon_item_dungeon_static,True,7552,7552,1.0,0,0
11,icon_item_gameover_static,True,15488,15488,1.0,0,0
12,icon_item_nes_static,True,56448,56448,1.0,0,0
13,icon_item_ger_static,True,60288,60288,1.0,0,0
14,icon_item_fra_static,True,62592,62592,1.0,0,0
15,item_name_static,True,377856,377856,1.0,0,0
16,map_name_static,True,205824,205824,1.0,0,0
17,do_action_static,True,33408,33408,1.0,0,0
18,message_static,True,16768,16768,1.0,0,0
19,message_texture_static,True,4608,4608,1.0,0,0
21,nes_message_data_static,True,229664,229664,1.0,0,0
24,staff_message_data_static,True,3920,3920,1.0,0,0
25,map_grand_static,True,58192,58192,1.0,0,0
26,map_i_static,True,975120,975120,1.0,0,0
27,map_48x85_static,True,138720,138720,1.0,0,0
1520,anime_model_2_static,True,16,16,1.0,0,0
1521,anime_model_3_static,True,16,16,1.0,0,0
1522,anime_model_4_static,True,16,16,1.0,0,0
1523,anime_model_5_static,True,16,16,1.0,0,0
1524,anime_model_6_static,True,16,16,1.0,0,0
1525,anime_texture_1_static,True,16,16,1.0,0,0
1526,anime_texture_2_static,True,16,16,1.0,0,0
1527,anime_texture_3_static,True,16,16,1.0,0,0
1528,anime_texture_4_static,True,16,16,1.0,0,0
1529,anime_texture_5_static,True,16,16,1.0,0,0
1530,anime_texture_6_static,True,16,16,1.0,0,0
