Index,File,Are equals,Size in baserom,Size in other_baserom,Size proportion,Size difference,Bytes different
3,Audiobank,True,179648,179648,1.0,0,0
4,Audioseq,True,326272,326272,1.0,0,0
5,Audiotable,True,4526992,4526992,1.0,0,0
6,link_animetion,True,2513968,2513968,1.0,0,0
7,icon_item_static,True,564384,564384,1.0,0,0
8,icon_item_24_static,True,46080,46080,1.0,0,0
9,icon_item_field_static,True,47408,47408,1.0,0,0
10,icon_item_dungeon_static,True,7552,7552,1.0,0,0
11,icon_item_gameover_static,True,15488,15488,1.0,0,0
12,icon_item_nes_static,True,56448,56448,1.0,0,0
13,icon_item_ger_static,True,60288,60288,1.0,0,0
14,icon_item_fra_static,True,62592,62592,1.0,0,0
15,item_name_static,True,377856,377856,1.0,0,0
16,map_name_static,True,205824,205824,1.0,0,0
17,do_action_static,True,33408,33408,1.0,0,0
18,message_static,True,16768,16768,1.0,0,0
19,message_texture_static,True,4608,4608,1.0,0,0
22,ger_message_data_static,True,244176,244176,1.0,0,0
23,fra_message_data_static,True,225728,225728,1.0,0,0
24,staff_message_data_static,True,3920,3920,1.0,0,0
25,map_grand_static,True,58192,58192,1.0,0,0
26,map_i_static,True,975120,975120,1.0,0,0
27,map_48x85_static,True,138720,138720,1.0,0,0
498,gameplay_keep,True,354224,354224,1.0,0,0
499,gameplay_field_keep,True,54064,54064,1.0,0,0
500,gameplay_dangeon_keep,True,97008,97008,1.0,0,0
501,gameplay_object_exchange_static,True,16,16,1.0,0,0
502,object_link_boy,True,227328,227328,1.0,0,0
503,object_link_child,True,184192,184192,1.0,0,0
504,object_box,True,24576,24576,1.0,0,0
505,object_human,True,78208,78208,1.0,0,0
506,object_okuta,True,15488,15488,1.0,0,0
507,object_poh,True,20704,20704,1.0,0,0
508,object_wallmaster,True,41072,41072,1.0,0,0
509,object_dy_obj,True,120112,120112,1.0,0,0
510,object_firefly,True,6336,6336,1.0,0,0
511,object_dodongo,True,39232,39232,1.0,0,0
512,object_fire,True,16544,16544,1.0,0,0
513,object_niw,True,9536,9536,1.0,0,0
514,object_tite,True,14896,14896,1.0,0,0
515,object_reeba,True,7920,7920,1.0,0,0
516,object_peehat,True,7312,7312,1.0,0,0
517,object_kingdodongo,True,199904,199904,1.0,0,0
518,object_horse,True,57104,57104,1.0,0,0
519,object_zf,True,91040,91040,1.0,0,0
520,object_goma,True,128512,128512,1.0,0,0
521,object_zl1,True,82880,82880,1.0,0,0
522,object_gol,True,16928,16928,1.0,0,0
523,object_bubble,True,4288,4288,1.0,0,0
524,object_dodojr,True,8432,8432,1.0,0,0
525,object_torch2,True,18288,18288,1.0,0,0
526,object_bl,True,22608,22608,1.0,0,0
527,object_tp,True,7408,7408,1.0,0,0
528,object_oA1,True,18192,18192,1.0,0,0
529,object_st,True,23472,23472,1.0,0,0
530,object_bw,True,8800,8800,1.0,0,0
