Index,File,Are equals,Size in baserom,Size in other_baserom,Size proportion,Size difference,Bytes different
1007,syotes_scene,,7168,,,,
1008,syotes_room_0,,53120,,,,
1009,syotes2_scene,,9392,,,,
1010,syotes2_room_0,,40704,,,,
1011,depth_test_scene,,768,,,,
1012,depth_test_room_0,,155376,,,,
1305,testroom_scene,,16896,,,,
1306,testroom_room_0,,17920,,,,
1307,testroom_room_1,,9200,,,,
1308,testroom_room_2,,12928,,,,
1309,testroom_room_3,,14880,,,,
1310,testroom_room_4,,768,,,,
1316,sutaru_scene,,2992,,,,
1317,sutaru_room_0,,29424,,,,
1352,sasatest_scene,,11040,,,,
1353,sasatest_room_0,,13904,,,,
1446,hairal_niwa2_scene,,11536,,,,
1447,hairal_niwa2_room_0,,97280,,,,
1507,besitu_scene,,1200,,,,
1508,besitu_room_0,,21728,,,,
1516,test01_scene,,15904,,,,
1517,test01_room_0,,39152,,,,
