File,Are equals,Size in baserom,Size in other_baserom,Size proportion,Size difference
testroom_room_1,,,9200,,
hairal_niwa2_scene,,,11536,,
sasatest_room_0,,,13904,,
sutaru_scene,,,2992,,
test01_scene,,,15904,,
sasatest_scene,,,11040,,
testroom_room_0,,,17920,,
testroom_room_2,,,12928,,
testroom_scene,,,16896,,
besitu_room_0,,,21728,,
testroom_room_4,,,768,,
syotes_scene,,,7168,,
depth_test_room_0,,,155376,,
hairal_niwa2_room_0,,,97280,,
testroom_room_3,,,14880,,
test01_room_0,,,39152,,
syotes2_room_0,,,40704,,
besitu_scene,,,1200,,
depth_test_scene,,,768,,
sutaru_room_0,,,29424,,
syotes2_scene,,,9392,,
syotes_room_0,,,53120,,
