Index,File,Are equals,Size in baserom,Size in other_baserom,Size proportion,Size difference,Bytes different
0,makerom,False,4192,4192,1.0,0,17
1,boot,False,26864,73488,0.366,-46624,23321
2,dmadata,False,24432,24768,0.986,-336,18060
3,Audiobank,True,179648,179648,1.0,0,0
4,Audioseq,False,326272,326272,1.0,0,6112
5,Audiotable,True,4526992,4526992,1.0,0,0
6,link_animetion,True,2513968,2513968,1.0,0,0
7,icon_item_static,False,564384,564384,1.0,0,1951
8,icon_item_24_static,True,46080,46080,1.0,0,0
9,icon_item_field_static,True,47408,47408,1.0,0,0
10,icon_item_dungeon_static,True,7552,7552,1.0,0,0
11,icon_item_gameover_static,True,15488,15488,1.0,0,0
12,icon_item_nes_static,True,56448,56448,1.0,0,0
13,icon_item_ger_static,True,60288,60288,1.0,0,0
14,icon_item_fra_static,True,62592,62592,1.0,0,0
15,item_name_static,True,377856,377856,1.0,0,0
16,map_name_static,True,205824,205824,1.0,0,0
17,do_action_static,True,33408,33408,1.0,0,0
18,message_static,True,16768,16768,1.0,0,0
19,message_texture_static,True,4608,4608,1.0,0,0
20,nes_font_static,False,17792,17920,0.993,-128,0
21,nes_message_data_static,True,229664,229664,1.0,0,0
22,ger_message_data_static,False,244128,244176,1.0,-48,221983
23,fra_message_data_static,False,226064,225728,1.001,336,211613
24,staff_message_data_static,True,3920,3920,1.0,0,0
25,map_grand_static,True,58192,58192,1.0,0,0
26,map_i_static,True,975120,975120,1.0,0,0
27,map_48x85_static,True,138720,138720,1.0,0,0
28,code,False,1053936,1290032,0.817,-236096,948758
29,ovl_title,False,2496,2960,0.843,-464,2224
30,ovl_select,False,11616,12384,0.938,-768,9492
31,ovl_opening,False,352,336,1.048,16,203
32,ovl_file_choose,False,67296,64192,1.048,3104,54137
33,ovl_kaleido_scope,False,117760,125312,0.94,-7552,95633
34,ovl_player_actor,False,157360,157840,0.997,-480,137078
35,ovl_map_mark_data,False,27488,27360,1.005,128,1145
36,ovl_En_Test,False,22704,22704,1.0,0,18930
