Extracting baserom with 4 CPU cores.
extracting baserom/makerom (0x00000000, 0x00001060)
extracting baserom/boot (0x00001060, 0x00012F70)
extracting baserom/dmadata (0x00012F70, 0x00019030)
extracting baserom/Audiobank (0x00019030, 0x00044DF0)
extracting baserom/Audioseq (0x00044DF0, 0x00094870)
extracting baserom/Audiotable (0x00094870, 0x004E5C00)
extracting baserom/link_animetion (0x004E5C00, 0x0074B830)
extracting baserom/icon_item_static (0x0074C000, 0x007D5CA0)
extracting baserom/icon_item_24_static (0x007D6000, 0x007E1400)
extracting baserom/icon_item_field_static (0x007E2000, 0x007ED930)
extracting baserom/icon_item_dungeon_static (0x007EE000, 0x007EFD80)
extracting baserom/icon_item_gameover_static (0x007F0000, 0x007F3C80)
extracting baserom/icon_item_nes_static (0x007F4000, 0x00801C80)
extracting baserom/icon_item_ger_static (0x00802000, 0x00810B80)
extracting baserom/icon_item_fra_static (0x00811000, 0x00820480)
extracting baserom/item_name_static (0x00821000, 0x0087D400)
extracting baserom/map_name_static (0x0087E000, 0x008B0400)
extracting baserom/do_action_static (0x008B1000, 0x008B9280)
extracting baserom/message_static (0x008BA000, 0x008BE180)
extracting baserom/message_texture_static (0x008BF000, 0x008C0200)
extracting baserom/nes_font_static (0x008C1000, 0x008C5600)
extracting baserom/nes_message_data_static (0x008C6000, 0x008FE120)
extracting baserom/ger_message_data_static (0x008FF000, 0x0093A9D0)
extracting baserom/fra_message_data_static (0x0093B000, 0x009721C0)
extracting baserom/staff_message_data_static (0x00973000, 0x00973F50)
extracting baserom/map_grand_static (0x00974000, 0x00982350)
extracting baserom/map_i_static (0x009A5000, 0x00A93110)
extracting baserom/map_48x85_static (0x00983000, 0x009A4DE0)
extracting baserom/code (0x00A94000, 0x00BCEF30)
extracting baserom/ovl_title (0x00BCEF30, 0x00BCFAC0)
extracting baserom/ovl_select (0x00BCFAC0, 0x00BD2B20)
extracting baserom/ovl_opening (0x00BD2B20, 0x00BD2C70)
extracting baserom/ovl_file_choose (0x00BD2C70, 0x00BE2730)
extracting baserom/ovl_kaleido_scope (0x00BE2730, 0x00C010B0)
extracting baserom/ovl_player_actor (0x00C010B0, 0x00C27940)
extracting baserom/ovl_map_mark_data (0x00C27940, 0x00C2E420)
extracting baserom/ovl_En_Test (0x00C2E420, 0x00C33CD0)
extracting baserom/ovl_Arms_Hook (0x00C33CD0, 0x00C34AE0)
extracting baserom/ovl_Arrow_Fire (0x00C34AE0, 0x00C36AA0)
extracting baserom/ovl_Arrow_Ice (0x00C36AA0, 0x00C38A80)
extracting baserom/ovl_Arrow_Light (0x00C38A80, 0x00C3AA70)
extracting baserom/ovl_Bg_Bdan_Objects (0x00C3AA70, 0x00C3BDE0)
extracting baserom/ovl_Bg_Bdan_Switch (0x00C3BDE0, 0x00C3D320)
extracting baserom/ovl_Bg_Bom_Guard (0x00C3D320, 0x00C3D5A0)
extracting baserom/ovl_Bg_Bombwall (0x00C3D5A0, 0x00C3DF30)
extracting baserom/ovl_Bg_Bowl_Wall (0x00C3DF30, 0x00C3E9B0)
extracting baserom/ovl_Bg_Breakwall (0x00C3E9B0, 0x00C3F880)
extracting baserom/ovl_Bg_Ddan_Jd (0x00C3F880, 0x00C3FEC0)
extracting baserom/ovl_Bg_Ddan_Kd (0x00C3FEC0, 0x00C407D0)
extracting baserom/ovl_Bg_Dodoago (0x00C407D0, 0x00C41590)
extracting baserom/ovl_Bg_Dy_Yoseizo (0x00C41590, 0x00C44680)
extracting baserom/ovl_Bg_Ganon_Otyuka (0x00C44680, 0x00C46EC0)
extracting baserom/ovl_Bg_Gate_Shutter (0x00C46EC0, 0x00C47420)
extracting baserom/ovl_Bg_Gjyo_Bridge (0x00C47420, 0x00C47990)
extracting baserom/ovl_Bg_Gnd_Darkmeiro (0x00C47990, 0x00C48220)
