extracting baserom/makerom (0x00000000, 0x00001060)
extracting baserom/boot (0x00001060, 0x00007430)
extracting baserom/dmadata (0x00007430, 0x0000D390)
extracting baserom/Audiobank (0x0000D390, 0x00029DE0)
extracting baserom/Audioseq (0x00029DE0, 0x00079470)
extracting baserom/Audiotable (0x00079470, 0x004D9F40)
extracting baserom/kanji (0x004D9F40, 0x00556240)
extracting baserom/link_animetion (0x00557000, 0x007BCC30)
extracting baserom/icon_item_static (0x007BD000, 0x008458A0)
extracting baserom/icon_item_24_static (0x00846000, 0x00851400)
extracting baserom/icon_item_field_static (0x00852000, 0x0085D930)
extracting baserom/icon_item_dungeon_static (0x0085E000, 0x0085FD80)
extracting baserom/icon_item_gameover_static (0x00860000, 0x00863300)
extracting baserom/icon_item_jpn_static (0x00864000, 0x00871C80)
extracting baserom/icon_item_nes_static (0x00872000, 0x0087FC80)
extracting baserom/item_name_static (0x00880000, 0x008BD800)
extracting baserom/map_name_static (0x008BE000, 0x008DF800)
extracting baserom/do_action_static (0x008E0000, 0x008E5700)
extracting baserom/message_static (0x008E6000, 0x008EA180)
extracting baserom/jpn_message_data_static (0x008EB000, 0x00925350)
extracting baserom/message_texture_static (0x00926000, 0x00927200)
extracting baserom/nes_font_static (0x00928000, 0x0092C580)
extracting baserom/nes_message_data_static (0x0092D000, 0x00965130)
extracting baserom/staff_message_data_static (0x00966000, 0x00966F60)
extracting baserom/map_grand_static (0x00967000, 0x00975350)
extracting baserom/map_i_static (0x00976000, 0x00A64110)
extracting baserom/map_48x85_static (0x00A65000, 0x00A86DE0)
extracting baserom/code (0x00A87000, 0x00B8AD30)
extracting baserom/n64dd (0x00B8AD30, 0x00B9DA40)
extracting baserom/ovl_title (0x00B9DA40, 0x00B9E400)
extracting baserom/ovl_select (0x00B9E400, 0x00BA1160)
extracting baserom/ovl_opening (0x00BA1160, 0x00BA12C0)
extracting baserom/ovl_file_choose (0x00BA12C0, 0x00BB11E0)
extracting baserom/ovl_kaleido_scope (0x00BB11E0, 0x00BCDB70)
extracting baserom/ovl_player_actor (0x00BCDB70, 0x00BF40D0)
extracting baserom/ovl_map_mark_data (0x00BF40D0, 0x00BFAC30)
extracting baserom/ovl_En_Test (0x00BFAC30, 0x00C004E0)
extracting baserom/ovl_En_GirlA (0x00C004E0, 0x00C02E00)
extracting baserom/ovl_En_Part (0x00C02E00, 0x00C04410)
extracting baserom/ovl_En_Light (0x00C04410, 0x00C05200)
extracting baserom/ovl_En_Door (0x00C05200, 0x00C06030)
extracting baserom/ovl_En_Box (0x00C06030, 0x00C07B60)
extracting baserom/ovl_En_Poh (0x00C07B60, 0x00C0BCF0)
extracting baserom/ovl_En_Okuta (0x00C0BCF0, 0x00C0E2D0)
extracting baserom/ovl_En_Bom (0x00C0E2D0, 0x00C0F1A0)
extracting baserom/ovl_En_Wallmas (0x00C0F1A0, 0x00C10BB0)
extracting baserom/ovl_En_Dodongo (0x00C10BB0, 0x00C13950)
extracting baserom/ovl_En_Firefly (0x00C13950, 0x00C15AC0)
extracting baserom/ovl_En_Horse (0x00C15AC0, 0x00C21CE0)
extracting baserom/ovl_En_Arrow (0x00C21CE0, 0x00C233D0)
extracting baserom/ovl_En_Elf (0x00C233D0, 0x00C27D90)
extracting baserom/ovl_En_Niw (0x00C27D90, 0x00C2B0C0)
extracting baserom/ovl_En_Tite (0x00C2B0C0, 0x00C2DE60)
extracting baserom/ovl_En_Reeba (0x00C2DE60, 0x00C2F8D0)
extracting baserom/ovl_En_Peehat (0x00C2F8D0, 0x00C32FD0)
extracting baserom/ovl_En_Holl (0x00C32FD0, 0x00C33FA0)
extracting baserom/ovl_En_Scene_Change (0x00C33FA0, 0x00C340D0)
extracting baserom/ovl_En_Zf (0x00C340D0, 0x00C3ABC0)
extracting baserom/ovl_En_Hata (0x00C3ABC0, 0x00C3B150)
extracting baserom/ovl_Boss_Dodongo (0x00C3B150, 0x00C44C30)
extracting baserom/ovl_Boss_Goma (0x00C44C30, 0x00C4ABB0)
extracting baserom/ovl_En_Zl1 (0x00C4ABB0, 0x00C4E9B0)
extracting baserom/ovl_En_Viewer (0x00C4E9B0, 0x00C51860)
extracting baserom/ovl_En_Goma (0x00C51860, 0x00C544F0)
extracting baserom/ovl_Bg_Pushbox (0x00C544F0, 0x00C547F0)
extracting baserom/ovl_En_Bubble (0x00C547F0, 0x00C55C10)
extracting baserom/ovl_Door_Shutter (0x00C55C10, 0x00C57E90)
extracting baserom/ovl_En_Dodojr (0x00C57E90, 0x00C59D30)
extracting baserom/ovl_En_Bdfire (0x00C59D30, 0x00C5A8C0)
extracting baserom/ovl_En_Boom (0x00C5A8C0, 0x00C5B180)
