extracting baserom/makerom (0x00000000, 0x00001060)
extracting baserom/boot (0x00001060, 0x00007430)
extracting baserom/dmadata (0x00007430, 0x0000D390)
extracting baserom/Audiobank (0x0000D390, 0x00029DF0)
extracting baserom/Audioseq (0x00029DF0, 0x00079470)
extracting baserom/Audiotable (0x00079470, 0x004D9F40)
extracting baserom/kanji (0x004D9F40, 0x00556240)
extracting baserom/link_animetion (0x00557000, 0x007BCC30)
extracting baserom/icon_item_static (0x007BD000, 0x008458A0)
extracting baserom/icon_item_24_static (0x00846000, 0x00851400)
extracting baserom/icon_item_field_static (0x00852000, 0x0085D930)
extracting baserom/icon_item_dungeon_static (0x0085E000, 0x0085FD80)
extracting baserom/icon_item_gameover_static (0x00860000, 0x00863300)
extracting baserom/icon_item_jpn_static (0x00864000, 0x00871C80)
extracting baserom/icon_item_nes_static (0x00872000, 0x0087FC80)
extracting baserom/item_name_static (0x00880000, 0x008BD800)
extracting baserom/map_name_static (0x008BE000, 0x008DF800)
extracting baserom/do_action_static (0x008E0000, 0x008E5700)
extracting baserom/message_static (0x008E6000, 0x008EA180)
extracting baserom/jpn_message_data_static (0x008EB000, 0x00925360)
extracting baserom/message_texture_static (0x00926000, 0x00927200)
extracting baserom/nes_font_static (0x00928000, 0x0092C580)
extracting baserom/nes_message_data_static (0x0092D000, 0x00965110)
extracting baserom/staff_message_data_static (0x00966000, 0x00966F80)
extracting baserom/map_grand_static (0x00967000, 0x00975350)
extracting baserom/map_i_static (0x00976000, 0x00A64110)
extracting baserom/map_48x85_static (0x00A65000, 0x00A86DE0)
extracting baserom/code (0x00A87000, 0x00B8AB20)
extracting baserom/n64dd (0x00B8AB20, 0x00B9D740)
extracting baserom/ovl_title (0x00B9D740, 0x00B9E100)
extracting baserom/ovl_select (0x00B9E100, 0x00BA0E60)
extracting baserom/ovl_opening (0x00BA0E60, 0x00BA0FC0)
extracting baserom/ovl_file_choose (0x00BA0FC0, 0x00BB0EE0)
extracting baserom/ovl_kaleido_scope (0x00BB0EE0, 0x00BCD860)
extracting baserom/ovl_player_actor (0x00BCD860, 0x00BF3BE0)
extracting baserom/ovl_map_mark_data (0x00BF3BE0, 0x00BFA740)
extracting baserom/ovl_En_Test (0x00BFA740, 0x00BFFFF0)
extracting baserom/ovl_En_GirlA (0x00BFFFF0, 0x00C02910)
extracting baserom/ovl_En_Part (0x00C02910, 0x00C03F20)
extracting baserom/ovl_En_Light (0x00C03F20, 0x00C04D10)
extracting baserom/ovl_En_Door (0x00C04D10, 0x00C05B40)
extracting baserom/ovl_En_Box (0x00C05B40, 0x00C07570)
extracting baserom/ovl_En_Poh (0x00C07570, 0x00C0B6E0)
extracting baserom/ovl_En_Okuta (0x00C0B6E0, 0x00C0DCC0)
extracting baserom/ovl_En_Bom (0x00C0DCC0, 0x00C0EB90)
extracting baserom/ovl_En_Wallmas (0x00C0EB90, 0x00C105A0)
extracting baserom/ovl_En_Dodongo (0x00C105A0, 0x00C13340)
extracting baserom/ovl_En_Firefly (0x00C13340, 0x00C154B0)
extracting baserom/ovl_En_Horse (0x00C154B0, 0x00C216D0)
extracting baserom/ovl_En_Arrow (0x00C216D0, 0x00C22DC0)
extracting baserom/ovl_En_Elf (0x00C22DC0, 0x00C27780)
extracting baserom/ovl_En_Niw (0x00C27780, 0x00C2AAB0)
extracting baserom/ovl_En_Tite (0x00C2AAB0, 0x00C2D850)
extracting baserom/ovl_En_Reeba (0x00C2D850, 0x00C2F2C0)
extracting baserom/ovl_En_Peehat (0x00C2F2C0, 0x00C32990)
extracting baserom/ovl_En_Holl (0x00C32990, 0x00C33A30)
extracting baserom/ovl_En_Scene_Change (0x00C33A30, 0x00C33B60)
extracting baserom/ovl_En_Zf (0x00C33B60, 0x00C3A640)
extracting baserom/ovl_En_Hata (0x00C3A640, 0x00C3ABD0)
extracting baserom/ovl_Boss_Dodongo (0x00C3ABD0, 0x00C446B0)
extracting baserom/ovl_Boss_Goma (0x00C446B0, 0x00C4A630)
extracting baserom/ovl_En_Zl1 (0x00C4A630, 0x00C4E430)
extracting baserom/ovl_En_Viewer (0x00C4E430, 0x00C512E0)
extracting baserom/ovl_En_Goma (0x00C512E0, 0x00C53F70)
extracting baserom/ovl_Bg_Pushbox (0x00C53F70, 0x00C54270)
extracting baserom/ovl_En_Bubble (0x00C54270, 0x00C55690)
extracting baserom/ovl_Door_Shutter (0x00C55690, 0x00C57910)
extracting baserom/ovl_En_Dodojr (0x00C57910, 0x00C597B0)
extracting baserom/ovl_En_Bdfire (0x00C597B0, 0x00C5A340)
extracting baserom/ovl_En_Boom (0x00C5A340, 0x00C5AC00)
