extracting baserom/makerom (0x00000000, 0x00001060)
extracting baserom/boot (0x00001060, 0x00007950)
extracting baserom/dmadata (0x00007950, 0x0000D8C0)
extracting baserom/Audiobank (0x0000D8C0, 0x00039680)
extracting baserom/Audioseq (0x00039680, 0x00089100)
extracting baserom/Audiotable (0x00089100, 0x004DA490)
extracting baserom/link_animetion (0x004DA490, 0x007400C0)
extracting baserom/icon_item_static (0x00741000, 0x007CACA0)
extracting baserom/icon_item_24_static (0x007CB000, 0x007D6400)
extracting baserom/icon_item_field_static (0x007D7000, 0x007E2930)
extracting baserom/icon_item_dungeon_static (0x007E3000, 0x007E4D80)
extracting baserom/icon_item_gameover_static (0x007E5000, 0x007E8C80)
extracting baserom/icon_item_nes_static (0x007E9000, 0x007F6C80)
extracting baserom/icon_item_ger_static (0x007F7000, 0x00805B80)
extracting baserom/icon_item_fra_static (0x00806000, 0x00815480)
extracting baserom/item_name_static (0x00816000, 0x00872400)
extracting baserom/map_name_static (0x00873000, 0x008A5400)
extracting baserom/do_action_static (0x008A6000, 0x008AE280)
extracting baserom/message_static (0x008AF000, 0x008B3180)
extracting baserom/message_texture_static (0x008B4000, 0x008B5200)
extracting baserom/nes_font_static (0x008B6000, 0x008BA580)
extracting baserom/nes_message_data_static (0x008BB000, 0x008F3120)
extracting baserom/ger_message_data_static (0x008F4000, 0x0092F9A0)
extracting baserom/fra_message_data_static (0x00930000, 0x00967310)
extracting baserom/staff_message_data_static (0x00968000, 0x00968F50)
extracting baserom/map_grand_static (0x00969000, 0x00977350)
extracting baserom/map_i_static (0x00978000, 0x00A66110)
extracting baserom/map_48x85_static (0x00A67000, 0x00A88DE0)
extracting baserom/code (0x00A89000, 0x00B8A4F0)
extracting baserom/n64dd (0x00B8A4F0, 0x00B9D180)
extracting baserom/ovl_title (0x00B9D180, 0x00B9DB40)
extracting baserom/ovl_select (0x00B9DB40, 0x00BA08A0)
extracting baserom/ovl_opening (0x00BA08A0, 0x00BA0A00)
extracting baserom/ovl_file_choose (0x00BA0A00, 0x00BB10E0)
extracting baserom/ovl_kaleido_scope (0x00BB10E0, 0x00BCDCE0)
extracting baserom/ovl_player_actor (0x00BCDCE0, 0x00BF4390)
extracting baserom/ovl_map_mark_data (0x00BF4390, 0x00BFAEF0)
extracting baserom/ovl_En_Test (0x00BFAEF0, 0x00C007A0)
extracting baserom/ovl_En_GirlA (0x00C007A0, 0x00C030C0)
extracting baserom/ovl_En_Part (0x00C030C0, 0x00C046D0)
extracting baserom/ovl_En_Light (0x00C046D0, 0x00C054C0)
extracting baserom/ovl_En_Door (0x00C054C0, 0x00C06300)
extracting baserom/ovl_En_Box (0x00C06300, 0x00C07E30)
extracting baserom/ovl_En_Poh (0x00C07E30, 0x00C0BFC0)
extracting baserom/ovl_En_Okuta (0x00C0BFC0, 0x00C0E5A0)
extracting baserom/ovl_En_Bom (0x00C0E5A0, 0x00C0F470)
extracting baserom/ovl_En_Wallmas (0x00C0F470, 0x00C10E80)
extracting baserom/ovl_En_Dodongo (0x00C10E80, 0x00C13C20)
extracting baserom/ovl_En_Firefly (0x00C13C20, 0x00C15D90)
extracting baserom/ovl_En_Horse (0x00C15D90, 0x00C21FF0)
extracting baserom/ovl_En_Arrow (0x00C21FF0, 0x00C236E0)
extracting baserom/ovl_En_Elf (0x00C236E0, 0x00C280A0)
extracting baserom/ovl_En_Niw (0x00C280A0, 0x00C2B3D0)
extracting baserom/ovl_En_Tite (0x00C2B3D0, 0x00C2E170)
